technique_id,technique_name,tactic,cwe_ids
T1110.002,Password Cracking,credential-access,CWE-261;CWE-262;CWE-263;CWE-308;CWE-309;CWE-521;CWE-654;CWE-916
T1178,SID-History Injection,privilege-escalation,
T1114.001,Local Email Collection,collection,
T1555.001,Keychain,credential-access,
T1547,Boot or Logon Autostart Execution,"persistence, privilege-escalation",
T1003.004,LSA Secrets,credential-access,
T1013,Port Monitors,"persistence, privilege-escalation",
T1600,Weaken Encryption,defense-impairment,CWE-757
T1606.002,SAML Tokens,credential-access,
T1192,Spearphishing Link,initial-access,
T1036.008,Masquerade File Type,stealth,
T1489,Service Stop,impact,
T1587.001,Malware,resource-development,
T1121,Regsvcs/Regasm,"stealth, execution",
T1652,Device Driver Discovery,discovery,
T1206,Sudo Caching,privilege-escalation,
T1087.002,Domain Account,discovery,
T1547.014,Active Setup,"persistence, privilege-escalation",
T1564,Hide Artifacts,stealth,
T1559.002,Dynamic Data Exchange,execution,
T1204.002,Malicious File,execution,
T1591.003,Identify Business Tempo,reconnaissance,
T1685.004,Disable or Modify Linux Audit System Log,defense-impairment,
T1063,Security Software Discovery,discovery,
T1071.005,Publish/Subscribe Protocols,command-and-control,
T1592.001,Hardware,reconnaissance,
T1080,Taint Shared Content,lateral-movement,CWE-284
T1484.002,Trust Modification,"defense-impairment, privilege-escalation",
T1213.006,Databases,collection,
T1573.001,Symmetric Cryptography,command-and-control,
T1087.001,Local Account,discovery,
T1167,Securityd Memory,credential-access,
T1586.001,Social Media Accounts,resource-development,
T1176.001,Browser Extensions,persistence,
T1527,Application Access Token,"stealth, lateral-movement",
T1562.009,Safe Mode Boot,stealth,
T1180,Screensaver,persistence,
T1542.005,TFTP Boot,"stealth, persistence",
T1686.003,Windows Host Firewall,defense-impairment,
T1543.003,Windows Service,"persistence, privilege-escalation",
T1568.001,Fast Flux DNS,command-and-control,
T1497.001,System Checks,"stealth, discovery",
T1053.003,Cron,"execution, persistence, privilege-escalation",
T1069.002,Domain Groups,discovery,
T1588.006,Vulnerabilities,resource-development,
T1566.002,Spearphishing Link,initial-access,
T1165,Startup Items,"persistence, privilege-escalation",
T1070.002,Clear Linux or Mac System Logs,stealth,
T1499.004,Application or System Exploitation,impact,CWE-1322;CWE-412;CWE-567;CWE-662;CWE-667;CWE-833
T1137,Office Application Startup,persistence,
T1218.004,InstallUtil,stealth,
T1598.003,Spearphishing Link,reconnaissance,
T1021.004,SSH,lateral-movement,
T1098.003,Additional Cloud Roles,"persistence, privilege-escalation",
T1547.012,Print Processors,"persistence, privilege-escalation",
T1089,Disabling Security Tools,stealth,
T1487,Disk Structure Wipe,impact,
T1566.001,Spearphishing Attachment,initial-access,
T1214,Credentials in Registry,credential-access,
T1027.008,Stripped Payloads,stealth,
T1559.001,Component Object Model,execution,
T1574.001,DLL,"stealth, execution",CWE-427
T1119,Automated Collection,collection,
T1689,Downgrade Attack,defense-impairment,
T1115,Clipboard Data,collection,CWE-267
T1003.007,Proc Filesystem,credential-access,
T1583.005,Botnet,resource-development,
T1555.005,Password Managers,credential-access,
T1103,AppInit DLLs,"persistence, privilege-escalation",
T1553.001,Gatekeeper Bypass,defense-impairment,
T1675,ESXi Administration Command,execution,
T1608.004,Drive-by Target,resource-development,
T1007,System Service Discovery,discovery,CWE-200
T1040,Network Sniffing,"credential-access, discovery",CWE-287;CWE-300;CWE-311;CWE-318;CWE-319;CWE-693
T1017,Application Deployment Software,lateral-movement,
T1553.002,Code Signing,defense-impairment,CWE-1326;CWE-325;CWE-328;CWE-732
T1530,Data from Cloud Storage,collection,
T1565.003,Runtime Data Manipulation,impact,
T1552.002,Credentials in Registry,credential-access,
T1135,Network Share Discovery,discovery,CWE-200;CWE-267
T1120,Peripheral Device Discovery,discovery,CWE-200
T1036.009,Break Process Trees,stealth,
T1590.004,Network Topology,reconnaissance,
T1587.002,Code Signing Certificates,resource-development,
T1222.001,Windows Permissions,defense-impairment,
T1137.006,Add-ins,persistence,
T1685.002,Disable or Modify Cloud Log,defense-impairment,
T1505.002,Transport Agent,persistence,
T1082,System Information Discovery,discovery,CWE-200;CWE-204;CWE-205;CWE-208
T1071,Application Layer Protocol,command-and-control,
T1574.014,AppDomainManager,"stealth, execution",
T1074.002,Remote Data Staging,collection,
T1098.006,Additional Container Cluster Roles,"persistence, privilege-escalation",
T1053,Scheduled Task/Job,"execution, persistence, privilege-escalation",
T1218.007,Msiexec,stealth,
T1162,Login Item,persistence,
T1590.003,Network Trust Dependencies,reconnaissance,
T1498.002,Reflection Amplification,impact,CWE-770
T1556.002,Password Filter DLL,"defense-impairment, persistence, credential-access",
T1505.005,Terminal Services DLL,persistence,CWE-114;CWE-284;CWE-732;CWE-829
T1059.002,AppleScript,execution,
T1176,Software Extensions,persistence,CWE-507;CWE-829
T1499.002,Service Exhaustion Flood,impact,CWE-770;CWE-772
T1195.003,Compromise Hardware Supply Chain,initial-access,
T1106,Native API,execution,
T1558.005,Ccache Files,credential-access,
T1070.007,Clear Network Connection History and Configurations,stealth,
T1558.004,AS-REP Roasting,credential-access,
T1058,Service Registry Permissions Weakness,"persistence, privilege-escalation",
T1584.003,Virtual Private Server,resource-development,
T1059.010,AutoHotKey & AutoIT,execution,
T1600.001,Reduce Key Space,defense-impairment,
T1070.003,Clear Command History,stealth,
T1202,Indirect Command Execution,stealth,
T1024,Custom Cryptographic Protocol,command-and-control,
T1536,Revert Cloud Instance,stealth,
T1091,Replication Through Removable Media,"lateral-movement, initial-access",CWE-1299
T1005,Data from Local System,collection,CWE-1239;CWE-1243;CWE-1258;CWE-1266;CWE-1272;CWE-1278;CWE-1301;CWE-1323;CWE-1330;CWE-226;CWE-285;CWE-311;CWE-312;CWE-314;CWE-315;CWE-318;CWE-524;CWE-525
T1140,Deobfuscate/Decode Files or Information,stealth,
T1137.005,Outlook Rules,persistence,
T1562,Impair Defenses,stealth,
T1586.003,Cloud Accounts,resource-development,
T1586.002,Email Accounts,resource-development,
T1098.007,Additional Local or Domain Groups,"persistence, privilege-escalation",
T1608.001,Upload Malware,resource-development,
T1195,Supply Chain Compromise,initial-access,CWE-1269
T1190,Exploit Public-Facing Application,initial-access,
T1558,Steal or Forge Kerberos Tickets,credential-access,CWE-262;CWE-263;CWE-294;CWE-307;CWE-308;CWE-309;CWE-522;CWE-654;CWE-836
T1555,Credentials from Password Stores,credential-access,
T1567,Exfiltration Over Web Service,exfiltration,
T1219,Remote Access Tools,command-and-control,
T1583.001,Domains,resource-development,
T1560.002,Archive via Library,collection,
T1055.003,Thread Execution Hijacking,"stealth, privilege-escalation",CWE-270
T1684,Social Engineering,stealth,
T1079,Multilayer Encryption,command-and-control,
T1036,Masquerading,stealth,CWE-706
T1546.011,Application Shimming,"privilege-escalation, persistence",
T1552,Unsecured Credentials,credential-access,
T1547.010,Port Monitors,"persistence, privilege-escalation",
T1070.008,Clear Mailbox Data,stealth,
T1037.002,Login Hook,"persistence, privilege-escalation",
T1659,Content Injection,"initial-access, command-and-control",
T1055,Process Injection,"stealth, privilege-escalation",CWE-829
T1567.004,Exfiltration Over Webhook,exfiltration,
T1139,Bash History,credential-access,
T1205,Traffic Signaling,"stealth, persistence, command-and-control",
T1021.008,Direct Cloud VM Connections,lateral-movement,
T1503,Credentials from Web Browsers,credential-access,
T1218,System Binary Proxy Execution,stealth,
T1153,Source,execution,
T1038,DLL Search Order Hijacking,"persistence, privilege-escalation, stealth",
T1050,New Service,"persistence, privilege-escalation",
T1070.006,Timestomp,stealth,
T1557.004,Evil Twin,"credential-access, collection",
T1620,Reflective Code Loading,stealth,
T1016.002,Wi-Fi Discovery,discovery,
T1480.002,Mutual Exclusion,stealth,
T1564.011,Ignore Process Interrupts,stealth,
T1611,Escape to Host,privilege-escalation,CWE-693
T1518.002,Backup Software Discovery,discovery,
T1547.009,Shortcut Modification,"persistence, privilege-escalation",CWE-59
T1010,Application Window Discovery,discovery,
T1569.003,Systemctl,execution,
T1032,Standard Cryptographic Protocol,command-and-control,
T1087.003,Email Account,discovery,
T1062,Hypervisor,persistence,
T1497.003,Time Based Checks,"stealth, discovery",
T1182,AppCert DLLs,"persistence, privilege-escalation",
T1218.003,CMSTP,stealth,
T1563.001,SSH Hijacking,lateral-movement,
T1562.002,Disable Windows Event Logging,stealth,
T1029,Scheduled Transfer,exfiltration,
T1021.002,SMB/Windows Admin Shares,lateral-movement,CWE-262;CWE-263;CWE-294;CWE-308;CWE-309;CWE-521;CWE-522
T1525,Implant Internal Image,persistence,
T1572,Protocol Tunneling,command-and-control,
T1218.002,Control Panel,stealth,
T1599.001,Network Address Translation Traversal,defense-impairment,
T1608.002,Upload Tool,resource-development,
T1547.005,Security Support Provider,"persistence, privilege-escalation",
T1036.011,Overwrite Process Arguments,stealth,
T1004,Winlogon Helper DLL,persistence,
T1009,Binary Padding,stealth,
T1550,Use Alternate Authentication Material,lateral-movement,
T1076,Remote Desktop Protocol,lateral-movement,
T1597.001,Threat Intel Vendors,reconnaissance,
T1011,Exfiltration Over Other Network Medium,exfiltration,
T1602.002,Network Device Configuration Dump,collection,
T1589,Gather Victim Identity Information,reconnaissance,
T1131,Authentication Package,persistence,
T1181,Extra Window Memory Injection,"stealth, privilege-escalation",
T1562.004,Disable or Modify System Firewall,stealth,
T1560,Archive Collected Data,collection,
T1152,Launchctl,"stealth, execution, persistence",
T1553.003,SIP and Trust Provider Hijacking,defense-impairment,
T1483,Domain Generation Algorithms,command-and-control,
T1185,Browser Session Hijacking,collection,CWE-287;CWE-300;CWE-494
T1021,Remote Services,lateral-movement,CWE-262;CWE-263;CWE-294;CWE-308;CWE-309;CWE-521;CWE-522
T1071.003,Mail Protocols,command-and-control,
T1556.007,Hybrid Identity,"defense-impairment, persistence, credential-access",
T1595.002,Vulnerability Scanning,reconnaissance,
T1059.009,Cloud API,execution,
T1596,Search Open Technical Databases,reconnaissance,
T1218.015,Electron Applications,stealth,
T1562.012,Disable or Modify Linux Audit System,stealth,
T1207,Rogue Domain Controller,defense-impairment,
T1553.006,Code Signing Policy Modification,defense-impairment,
T1610,Deploy Container,execution,
T1107,File Deletion,stealth,
T1145,Private Keys,credential-access,
T1112,Modify Registry,"defense-impairment, persistence",CWE-15
T1543.004,Launch Daemon,"persistence, privilege-escalation",
T1580,Cloud Infrastructure Discovery,discovery,
T1555.003,Credentials from Web Browsers,credential-access,
T1574.008,Path Interception by Search Order Hijacking,"stealth, execution",CWE-706
T1491,Defacement,impact,CWE-345
T1535,Unused/Unsupported Cloud Regions,stealth,
T1557.003,DHCP Spoofing,"credential-access, collection",CWE-923
T1155,AppleScript,execution,
T1563,Remote Service Session Hijacking,lateral-movement,
T1564.013,Bind Mounts,stealth,
T1027.001,Binary Padding,stealth,
T1505.003,Web Shell,persistence,CWE-287;CWE-553
T1484.001,Group Policy Modification,"defense-impairment, privilege-escalation",
T1685.006,Clear Linux or Mac System Logs,defense-impairment,
T1217,Browser Information Discovery,discovery,CWE-200
T1552.004,Private Keys,credential-access,CWE-330;CWE-522
T1583.004,Server,resource-development,
T1021.006,Windows Remote Management,lateral-movement,
T1011.001,Exfiltration Over Bluetooth,exfiltration,
T1078.001,Default Accounts,"stealth, persistence, privilege-escalation, initial-access",CWE-262;CWE-263;CWE-308;CWE-309;CWE-521;CWE-654;CWE-798
T1547.003,Time Providers,"persistence, privilege-escalation",
T1183,Image File Execution Options Injection,"privilege-escalation, persistence, stealth",
T1085,Rundll32,"stealth, execution",
T1031,Modify Existing Service,persistence,
T1546.005,Trap,"privilege-escalation, persistence",
T1574.006,Dynamic Linker Hijacking,"stealth, execution",
T1136.001,Local Account,persistence,
T1681,Search Threat Vendor Data,reconnaissance,
T1674,Input Injection,execution,
T1092,Communication Through Removable Media,command-and-control,
T1070.001,Clear Windows Event Logs,stealth,
T1585.002,Email Accounts,resource-development,
T1557.001,Name Resolution Poisoning and SMB Relay,"credential-access, collection",
T1222,File and Directory Permissions Modification,defense-impairment,
T1003.001,LSASS Memory,credential-access,
T1053.001,At (Linux),"execution, persistence, privilege-escalation",
T1176.002,IDE Extensions,persistence,
T1179,Hooking,"persistence, privilege-escalation, credential-access",
T1595,Active Scanning,reconnaissance,
T1027.016,Junk Code Insertion,stealth,
T1547.011,Plist Modification,"persistence, privilege-escalation",
T1548,Abuse Elevation Control Mechanism,privilege-escalation,CWE-1244;CWE-1264;CWE-1311;CWE-1317;CWE-269;CWE-287;CWE-732
T1134.002,Create Process with Token,"stealth, privilege-escalation",CWE-384;CWE-664
T1548.001,Setuid and Setgid,privilege-escalation,
T1547.004,Winlogon Helper DLL,"persistence, privilege-escalation",CWE-15
T1019,System Firmware,persistence,
T1021.003,Distributed Component Object Model,lateral-movement,
T1042,Change Default File Association,persistence,
T1117,Regsvr32,"stealth, execution",
T1110.003,Password Spraying,credential-access,CWE-262;CWE-263;CWE-307;CWE-308;CWE-309;CWE-521;CWE-654
T1090.002,External Proxy,command-and-control,
T1056.003,Web Portal Capture,"collection, credential-access",
T1589.002,Email Addresses,reconnaissance,
T1164,Re-opened Applications,persistence,
T1054,Indicator Blocking,stealth,
T1598.004,Spearphishing Voice,reconnaissance,
T1683.001,Written Content,resource-development,
T1108,Redundant Access,"stealth, persistence",
T1193,Spearphishing Attachment,initial-access,
T1003.005,Cached Domain Credentials,credential-access,
T1098.004,SSH Authorized Keys,"persistence, privilege-escalation",
T1673,Virtual Machine Discovery,discovery,
T1215,Kernel Modules and Extensions,persistence,
T1101,Security Support Provider,persistence,
T1590.006,Network Security Appliances,reconnaissance,
T1546.012,Image File Execution Options Injection,"privilege-escalation, persistence",
T1218.008,Odbcconf,stealth,
T1593.002,Search Engines,reconnaissance,
T1177,LSASS Driver,"execution, persistence",
T1591.002,Business Relationships,reconnaissance,
T1548.005,Temporary Elevated Cloud Access,privilege-escalation,
T1125,Video Capture,collection,
T1144,Gatekeeper Bypass,stealth,
T1045,Software Packing,stealth,
T1055.013,Process Doppelgänging,"stealth, privilege-escalation",
T1016,System Network Configuration Discovery,discovery,CWE-200
T1578.003,Delete Cloud Instance,defense-impairment,
T1593.003,Code Repositories,reconnaissance,
T1574.005,Executable Installer File Permissions Weakness,"stealth, execution",CWE-270;CWE-272;CWE-282;CWE-285;CWE-59;CWE-693;CWE-732
T1546.008,Accessibility Features,"privilege-escalation, persistence",
T1496.002,Bandwidth Hijacking,impact,
T1504,PowerShell Profile,"persistence, privilege-escalation",
T1198,SIP and Trust Provider Hijacking,"stealth, persistence",
T1087,Account Discovery,discovery,CWE-200
T1090,Proxy,command-and-control,
T1059,Command and Scripting Interpreter,execution,
T1204.005,Malicious Library,execution,
T1562.006,Indicator Blocking,stealth,
T1685.005,Clear Windows Event Logs,defense-impairment,
T1136.002,Domain Account,persistence,
T1564.014,Extended Attributes,stealth,
T1589.003,Employee Names,reconnaissance,
T1677,Poisoned Pipeline Execution,execution,
T1482,Domain Trust Discovery,discovery,
T1558.001,Golden Ticket,credential-access,
T1175,Component Object Model and Distributed COM,"lateral-movement, execution",
T1020,Automated Exfiltration,exfiltration,
T1592.004,Client Configurations,reconnaissance,
T1562.007,Disable or Modify Cloud Firewall,stealth,
T1219.001,IDE Tunneling,command-and-control,
T1036.002,Right-to-Left Override,stealth,
T1588.001,Malware,resource-development,
T1027.017,SVG Smuggling,stealth,
T1542.002,Component Firmware,"stealth, persistence",
T1070,Indicator Removal,stealth,CWE-117
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,
T1137.001,Office Template Macros,persistence,
T1583.003,Virtual Private Server,resource-development,
T1213.001,Confluence,collection,
T1550.003,Pass the Ticket,lateral-movement,CWE-294;CWE-308;CWE-522
T1609,Container Administration Command,execution,
T1083,File and Directory Discovery,discovery,CWE-200;CWE-276;CWE-285;CWE-288;CWE-424;CWE-425;CWE-693;CWE-732
T1568,Dynamic Resolution,command-and-control,
T1036.004,Masquerade Task or Service,stealth,CWE-1021
T1055.004,Asynchronous Procedure Call,"stealth, privilege-escalation",
T1020.001,Traffic Duplication,exfiltration,
T1138,Application Shimming,"persistence, privilege-escalation",
T1647,Plist File Modification,defense-impairment,
T1127.003,JamPlus,"stealth, execution",
T1546.009,AppCert DLLs,"privilege-escalation, persistence",
T1191,CMSTP,"stealth, execution",
T1188,Multi-hop Proxy,command-and-control,
T1114.003,Email Forwarding Rule,collection,
T1074,Data Staged,collection,
T1649,Steal or Forge Authentication Certificates,credential-access,
T1098.005,Device Registration,"persistence, privilege-escalation",
T1049,System Network Connections Discovery,discovery,
T1584,Compromise Infrastructure,resource-development,
T1553.005,Mark-of-the-Web Bypass,defense-impairment,
T1600.002,Disable Crypto Hardware,defense-impairment,
T1542,Pre-OS Boot,"stealth, persistence",
T1064,Scripting,"stealth, execution",
T1612,Build Image on Host,stealth,
T1051,Shared Webroot,lateral-movement,
T1055.002,Portable Executable Injection,"stealth, privilege-escalation",
T1218.012,Verclsid,stealth,
T1586,Compromise Accounts,resource-development,
T1569.001,Launchctl,execution,
T1584.005,Botnet,resource-development,
T1059.008,Network Device CLI,execution,
T1552.003,Shell History,credential-access,
T1562.010,Downgrade Attack,stealth,
T1559.003,XPC Services,execution,
T1497,Virtualization/Sandbox Evasion,"stealth, discovery",
T1102,Web Service,command-and-control,
T1552.001,Credentials In Files,credential-access,CWE-798
T1568.003,DNS Calculation,command-and-control,
T1218.005,Mshta,stealth,
T1547.015,Login Items,"persistence, privilege-escalation",
T1608,Stage Capabilities,resource-development,
T1608.005,Link Target,resource-development,
T1104,Multi-Stage Channels,command-and-control,
T1657,Financial Theft,impact,
T1480,Execution Guardrails,stealth,
T1619,Cloud Storage Object Discovery,discovery,
T1606.001,Web Cookies,credential-access,CWE-359
T1654,Log Enumeration,discovery,
T1134.001,Token Impersonation/Theft,"stealth, privilege-escalation",CWE-200;CWE-285;CWE-290;CWE-294;CWE-346;CWE-384;CWE-488;CWE-539;CWE-664;CWE-732
T1567.001,Exfiltration to Code Repository,exfiltration,
T1021.007,Cloud Services,lateral-movement,
T1205.001,Port Knocking,"stealth, persistence, command-and-control",
T1027.012,LNK Icon Smuggling,stealth,
T1583.006,Web Services,resource-development,
T1528,Steal Application Access Token,credential-access,
T1598.002,Spearphishing Attachment,reconnaissance,
T1098.001,Additional Cloud Credentials,"persistence, privilege-escalation",
T1204,User Execution,execution,
T1491.001,Internal Defacement,impact,
T1564.002,Hidden Users,stealth,
T1134.003,Make and Impersonate Token,"stealth, privilege-escalation",
T1552.006,Group Policy Preferences,credential-access,
T1196,Control Panel Items,"stealth, execution",
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,
T1087.004,Cloud Account,discovery,
T1683.002,Audio-Visual Content,resource-development,
T1057,Process Discovery,discovery,CWE-200
T1562.003,Impair Command History Logging,stealth,CWE-15;CWE-20;CWE-200;CWE-285;CWE-302;CWE-353;CWE-73;CWE-74
T1053.004,Launchd,"execution, persistence, privilege-escalation",
T1556.008,Network Provider DLL,"defense-impairment, persistence, credential-access",
T1546.003,Windows Management Instrumentation Event Subscription,"privilege-escalation, persistence",
T1596.004,CDNs,reconnaissance,
T1497.002,User Activity Based Checks,"stealth, discovery",
T1141,Input Prompt,credential-access,
T1496.004,Cloud Service Hijacking,impact,
T1585.003,Cloud Accounts,resource-development,
T1072,Software Deployment Tools,"execution, lateral-movement",CWE-494
T1041,Exfiltration Over C2 Channel,exfiltration,
T1134.004,Parent PID Spoofing,"stealth, privilege-escalation",
T1591,Gather Victim Org Information,reconnaissance,
T1060,Registry Run Keys / Startup Folder,persistence,
T1606,Forge Web Credentials,credential-access,
T1621,Multi-Factor Authentication Request Generation,credential-access,
T1554,Compromise Host Software Binary,persistence,
T1552.008,Chat Messages,credential-access,
T1059.001,PowerShell,execution,
T1023,Shortcut Modification,persistence,
T1546.001,Change Default File Association,"privilege-escalation, persistence",CWE-284
T1055.014,VDSO Hijacking,"stealth, privilege-escalation",
T1026,Multiband Communication,command-and-control,
T1071.002,File Transfer Protocols,command-and-control,
T1679,Selective Exclusion,stealth,
T1122,Component Object Model Hijacking,"stealth, persistence",
T1015,Accessibility Features,"persistence, privilege-escalation",
T1212,Exploitation for Credential Access,credential-access,
T1546.014,Emond,"privilege-escalation, persistence",
T1102.003,One-Way Communication,command-and-control,
T1590,Gather Victim Network Information,reconnaissance,
T1210,Exploitation of Remote Services,lateral-movement,
T1502,Parent PID Spoofing,"stealth, privilege-escalation",
T1142,Keychain,credential-access,
T1534,Internal Spearphishing,lateral-movement,CWE-451
T1169,Sudo,privilege-escalation,
T1574.010,Services File Permissions Weakness,"stealth, execution",CWE-1190;CWE-1191;CWE-1193;CWE-1220;CWE-1268;CWE-1280;CWE-1297;CWE-1311;CWE-1314;CWE-1315;CWE-1318;CWE-1320;CWE-1321;CWE-1327;CWE-276;CWE-285;CWE-434;CWE-693;CWE-732
T1547.001,Registry Run Keys / Startup Folder,"persistence, privilege-escalation",CWE-15
T1199,Trusted Relationship,initial-access,
T1136.003,Cloud Account,persistence,
T1069.001,Local Groups,discovery,
T1149,LC_MAIN Hijacking,stealth,
T1593,Search Open Websites/Domains,reconnaissance,
T1562.013,Disable or Modify Network Device Firewall,stealth,
T1098,Account Manipulation,"persistence, privilege-escalation",
T1170,Mshta,"stealth, execution",
T1048,Exfiltration Over Alternative Protocol,exfiltration,
T1547.006,Kernel Modules and Extensions,"persistence, privilege-escalation",
T1678,Delay Execution,stealth,
T1056.002,GUI Input Capture,"collection, credential-access",
T1097,Pass the Ticket,lateral-movement,
T1686.002,Network Device Firewall,defense-impairment,
T1588.002,Tool,resource-development,
T1052.001,Exfiltration over USB,exfiltration,
T1574.013,KernelCallbackTable,"stealth, execution",
T1597,Search Closed Sources,reconnaissance,
T1053.006,Systemd Timers,"execution, persistence, privilege-escalation",
T1566,Phishing,initial-access,CWE-451
T1061,Graphical User Interface,execution,
T1542.004,ROMMONkit,"stealth, persistence",
T1218.001,Compiled HTML File,stealth,
T1496.001,Compute Hijacking,impact,
T1070.005,Network Share Connection Removal,stealth,
T1090.003,Multi-hop Proxy,command-and-control,
T1110,Brute Force,credential-access,CWE-326;CWE-330;CWE-521
T1059.004,Unix Shell,execution,
T1137.003,Outlook Forms,persistence,
T1219.003,Remote Access Hardware,command-and-control,
T1157,Dylib Hijacking,"persistence, privilege-escalation",
